country,cases_total,cases_total_per_100000_pop,cases_7_days ,cases_7_days_per_100000_pop,cases_24_hours,deaths_total,deaths_total_per_100000_pop,deaths_7_days,deaths_7_days_per_100000_pop,deaths_24_hours,fully_vacc_per_100_pop
United Republic of Tanzania,26261,43.963,34,0.057,0,730,1.222,3,0.005,0,
Togo,26232,316.86,47,0.568,8,243,2.935,0,0,0,
Haiti,24974,219.022,90,0.789,0,723,6.341,4,0.035,0,
Benin,24850,204.979,4,0.033,0,161,1.328,0,0,0,
Barbados,24432,8501.783,1509,525.098,198,215,74.815,11,3.828,2,
Seychelles,23197,23586.891,302,307.076,0,122,124.051,0,0,0,
Somalia,22969,144.521,132,0.831,0,1324,8.331,11,0.069,0,
Bahamas,22696,5771.48,67,17.038,0,671,170.632,2,0.509,0,
Lesotho,21735,1014.588,16,0.747,0,662,30.902,1,0.047,0,
Mayotte,20938,7674.798,78,28.591,24,185,67.812,0,0,0,
Burundi,20386,171.444,54,0.454,26,14,0.118,0,0,0,
Timor-Leste,19821,1503.362,5,0.379,1,122,9.253,0,0,0,
Congo,18837,341.368,120,2.175,0,349,6.325,10,0.181,0,
Tajikistan,17493,183.41,4,0.042,0,125,1.311,0,0,0,
Iceland,17446,4791.093,1010,277.37,152,35,9.612,1,0.275,0,
Curaçao,17362,10580.585,103,62.769,14,178,108.475,3,1.828,0,
Mali,17145,84.663,348,1.718,48,601,2.968,12,0.059,0,
Andorra,16566,21440.497,531,687.245,140,131,169.546,1,1.294,0,
Aruba,16246,15216.455,113,105.839,16,173,162.037,0,0,0,
Burkina Faso,15514,74.218,0,0,0,265,1.268,0,0,0,
Guam,15109,8952.155,51,30.218,7,263,155.829,1,0.593,0,
Brunei Darussalam,14840,3392.163,441,100.805,69,57,13.029,0,0,0,
Equatorial Guinea,13547,965.584,28,1.996,0,170,12.117,1,0.071,0,
Jersey,13518,12540.354,950,881.294,146,80,74.214,0,0,0,
Djibouti,13503,1366.7,3,0.304,0,186,18.826,0,0,0,
Nicaragua,13330,201.221,88,1.328,0,212,3.2,1,0.015,0,
